Nome,Preço,URL
Baixo Rickenbaker Replica,R$ 2.150,https://www.facebook.com/marketplace/item/571482301715890/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra baixo,R$ 2.200,https://www.facebook.com/marketplace/item/631437795114611/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Eagle Regulado Ac/Cartão,R$ 699,https://www.facebook.com/marketplace/item/772526464035895/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra-Baixo precision strinberg,R$ 700,https://www.facebook.com/marketplace/item/235693569002951/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Cort B5,R$ 2.650,https://www.facebook.com/marketplace/item/246008307766747/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo,Gratuito,https://www.facebook.com/marketplace/item/1910376619304211/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo contra Baixo Walczak,R$ 2.000,https://www.facebook.com/marketplace/item/782862879839062/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Captador baixo passivo fender squier jazz Bass,R$ 300,https://www.facebook.com/marketplace/item/518757003607739/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo SX Vintage Series Jazz bass alter,R$ 1.900,https://www.facebook.com/marketplace/item/477708217877358/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Harley Benton Precision - Shortscale,R$ 1.250,https://www.facebook.com/marketplace/item/966281637684025/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Squier Precision Bass,R$ 1.800,https://www.facebook.com/marketplace/item/679707740281675/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Pedal NIG Bass Shaper,R$ 550,https://www.facebook.com/marketplace/item/766674808154685/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Troco por guitarra.,R$ 750,https://www.facebook.com/marketplace/item/717985980118271/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
FENDER MEXICANO,R$ 4.300,https://www.facebook.com/marketplace/item/2525442990941067/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Squier fender precision sem uso antigo,R$ 2.800,https://www.facebook.com/marketplace/item/218942874139643/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
